monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2000072370;2000-07-27 14:14;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.27;mg/l
WN_FC2000080859;2000-08-10 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.235;mg/l
WN_FC2000081638;2000-08-17 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.087;mg/l
WN_FC2000081642;2000-08-17 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.34;mg/l
WN_FC2000082128;2000-08-23 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.05;mg/l
WN_FC2000082236;2000-08-24 09:20;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.109;mg/l
WN_FC2000082181;2000-08-24 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.077;mg/l
WN_FC2000082191;2000-08-24 12:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.132;mg/l
WN_FC2000082302;2000-08-25 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.07;mg/l
WN_FC2000090204;2000-09-05 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.05;mg/l
WN_FC2000091256;2000-09-15 09:30;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.119;mg/l
WN_FC2000091492;2000-09-19 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.7;mg/l
WN_FC2000091633;2000-09-20 09:40;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.149;mg/l
WN_FC2000091617;2000-09-20 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.1;mg/l
WN_FC2000091629;2000-09-20 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.606;mg/l
WN_FC2000091731;2000-09-21 09:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.084;mg/l
WN_FC2000091740;2000-09-21 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.789;mg/l
WN_FC2000092320;2000-09-28 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.73;mg/l
WN_FC2000100267;2000-10-05 12:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.467;mg/l
WN_FC2000100815;2000-10-12 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.155;mg/l
WN_FC2000101022;2000-10-16 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.287;mg/l
WN_FC2000101040;2000-10-16 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.3;mg/l
WN_FC2000101047;2000-10-16 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);3.16;mg/l
WN_FC2000101469;2000-10-20 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.23;mg/l
WN_FC2000102289;2000-10-31 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.79;mg/l
WN_FC2000110105;2000-11-02 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.31;mg/l
WN_FC2000110368;2000-11-07 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.444;mg/l
WN_FC2000110952;2000-11-13 09:20;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.68;mg/l
WN_FC2000110958;2000-11-13 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.18;mg/l
WN_FC2000110962;2000-11-14 09:20;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.434;mg/l
WN_FC2000111181;2000-11-15 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.066;mg/l
WN_FC2000111062;2000-11-16 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.64;mg/l
WN_FC2000111496;2000-11-20 09:45;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.398;mg/l
WN_FC2000112297;2000-11-29 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.12;mg/l
WN_FC2000112490;2000-12-01 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.95;mg/l
WN_FC2000120499;2000-12-07 09:30;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.686;mg/l
