monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2000072370;2000-07-27 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;110.0;mS/m
WN_FC2000080859;2000-08-10 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;107.0;mS/m
WN_FC2000081638;2000-08-17 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;67.0;mS/m
WN_FC2000081642;2000-08-17 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;400.0;mS/m
WN_FC2000082128;2000-08-23 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;52.0;mS/m
WN_FC2000082236;2000-08-24 09:20;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;90.0;mS/m
WN_FC2000082181;2000-08-24 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;123.0;mS/m
WN_FC2000082191;2000-08-24 12:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;98.0;mS/m
WN_FC2000082302;2000-08-25 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;330.0;mS/m
WN_FC2000090204;2000-09-05 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;103.0;mS/m
WN_FC2000091256;2000-09-15 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;67.0;mS/m
WN_FC2000091492;2000-09-19 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;395.0;mS/m
WN_FC2000091633;2000-09-20 09:40;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;132.0;mS/m
WN_FC2000091617;2000-09-20 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;197.0;mS/m
WN_FC2000091629;2000-09-20 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;118.0;mS/m
WN_FC2000091731;2000-09-21 09:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;328.0;mS/m
WN_FC2000091740;2000-09-21 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;49.0;mS/m
WN_FC2000092320;2000-09-28 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;74.0;mS/m
WN_FC2000100267;2000-10-05 12:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;122.0;mS/m
WN_FC2000100815;2000-10-12 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;62.0;mS/m
WN_FC2000101022;2000-10-16 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;84.0;mS/m
WN_FC2000101040;2000-10-16 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;190.0;mS/m
WN_FC2000101047;2000-10-16 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;115.0;mS/m
WN_FC2000101254;2000-10-18 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;331.0;mS/m
WN_FC2000101339;2000-10-19 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;48.0;mS/m
WN_FC2000101469;2000-10-20 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;358.0;mS/m
WN_FC2000102289;2000-10-31 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;51.0;mS/m
WN_FC2000110105;2000-11-02 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;103.0;mS/m
WN_FC2000110368;2000-11-07 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;59.0;mS/m
WN_FC2000110952;2000-11-13 09:20;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;141.0;mS/m
WN_FC2000110958;2000-11-13 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;88.0;mS/m
WN_FC2000110962;2000-11-14 09:20;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;85.0;mS/m
WN_FC2000111181;2000-11-15 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;333.0;mS/m
WN_FC2000111062;2000-11-16 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;49.0;mS/m
WN_FC2000111496;2000-11-20 09:45;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;172.0;mS/m
WN_FC2000112297;2000-11-29 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;100.0;mS/m
