monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
3420060337;2006-09-14 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);1.786;n/ha;126359;471392
3420060337;2006-09-14 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);1.786;n/ha;126359;471392
3420060337;2006-09-14 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);3.571;n/ha;126359;471392
3420060337;2006-09-14 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);1.786;n/ha;126359;471392
3420060337;2006-09-14 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);1.786;n/ha;126359;471392
3420060337;2006-09-14 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);2.381;n/ha;126359;471392
3420060337;2006-09-14 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);2.381;n/ha;126359;471392
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);133.333;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);266.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);133.333;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
3420120013;2012-08-07 00:00;HYBIO;Vissen per lengteklasse in cm (n/ha);66.667;n/ha;122010;469850
